name,street,city,state,zip
1 MDSS/SGSLM/Langley AFB Advanced Education in General Dentistry 12 Months,"73 Cherry Street, Bldg. 272",Langley AFB,VA,"""23665"""
10th Medical Group/SGFL/USAF Academy Advanced Education in General Dentistry 12 Months,4102 Pinion Drive - Suite 3,USAF Acacemy,CO,"""80840"""
11th Medical Group/Bolling AFB-Dental Squadron Advanced Education in General Dentistry 12 Months,"260 Brookley Avenue, Suite 2-48",Bolling AFB,DC,"""20332-5109"""
1st Dental Battalion/Camp Pendleton-Dental Center Advanced Education in General Dentistry 12 Months,13128 14th Street,Camp Pendleton,CA,"""92055-5221"""
"21st Century Oncology, Inc. School for Radiation Therapy Technology",1419 S.E. 8th Terrace,Cape Coral,FL,"""33909"""
2nd Dental Battalion Naval Dental Clinic/Le Jeune Advanced Education in General Dentistry 12 Months,315 Main Service Road,Camp LeJeune,NC,"""28542-2508"""
2nd Medical Group/Barksdale AFB - Dental Squadron Advanced Education in General Dentistry 12 Months,1067 Twining Drive,Barksdale AFB,LA,"""71110-2486"""
360 Degrees Beauty Academy,4745 Highway 6 North,Houston,TX,"""77084"""
375th Medical Group/SGDDT/Scott AFB Advanced Education in General Dentistry 12 Months,310 West Losey Street,Scott AFB,IL,"""62225-5252"""
"3rd Dental Squadron, Elmendorf AFB Advanced Education in General Dentistry 12 Months",5955 Zeamer Avenue,Elmendorf AFB,AR,"""99506"""
4Cs The Center for Child Care Careers,"2 Market Street, 3rd Floor",Paterson,NJ,"""07501"""
4Cs The Center for Child Care Careers,"2 Market Street, 3rd Floor",Paterson,NJ,"""07501"""
4-States Academy of Cosmetology,28 D Street NE,Miami,OK,"""74354"""
4-States Okmulgees Academy of Cosmetology,308 East 6th Street,Okmulgee,OK,"""74447"""
55th Dental Squadron/SGD/Offutt AFB Advanced Education in General Dentistry 12 Months,2501 Capehart Road-Ste 1K47,Offutt AFB,NE,"""68113-2160"""
60th Medical Group/Travis AFB,101 Bodin Circle,Travis AFB,CA,"""94535-1800"""
60th Medical Group/Travis AFB,101 Bodin Circle,Travis AFB,CA,"""94535-1800"""
